	keyword	name	page_url	page_fan	page_id			
1	?하이마트(Hi-mart) 	하이마트(Hi-mart)	https://www.facebook.com/himart/	7772176	4.96657E+14	brands	SOUTH KOREA	하이마트(Hi-mart)?SOUTH KOREA
2	삼성전자 뉴스룸 	삼성전자 뉴스룸	https://www.facebook.com/SamsungNewsroom/	3400877	3.14883E+11	brands	SOUTH KOREA	삼성전자 뉴스룸?SOUTH KOREA
3	G마켓 	G마켓	https://www.facebook.com/GmarketStory/	2602536	1.76568E+14	brands	SOUTH KOREA	G마켓?SOUTH KOREA
4	롯데 (LOTTE) 	롯데 (LOTTE)	https://www.facebook.com/lotte/	1686772	2.81196E+14	brands	SOUTH KOREA	롯데 (LOTTE)?SOUTH KOREA
5	티몬 TMON 	티몬 TMON	https://www.facebook.com/tmonkr/	1444914	1.94806E+14	brands	SOUTH KOREA	티몬 TMON?SOUTH KOREA
6	SK텔레콤 	SK텔레콤	https://www.facebook.com/sktworld/	1503380	1.41963E+14	brands	SOUTH KOREA	SK텔레콤?SOUTH KOREA
7	롯데리아 (LOTTERIA) 	롯데리아 (LOTTERIA)	https://www.facebook.com/Lotteria/	1457427	4.31666E+14	brands	SOUTH KOREA	롯데리아 (LOTTERIA)?SOUTH KOREA
8	Beauty No.1 	Beauty No.1	https://www.facebook.com/lottebeauty/	1181038	1.02272E+14	brands	SOUTH KOREA	Beauty No.1?SOUTH KOREA
9	맥도날드 (McDonald's) 	맥도날드 (McDonald's)	https://www.facebook.com/McDonaldsKorea/	74383400	1.80075E+14	brands	SOUTH KOREA	맥도날드 (McDonald's)?SOUTH KOREA
10	신한카드 	신한카드	https://www.facebook.com/shinhancard/	1071035	1.13969E+14	brands	SOUTH KOREA	신한카드?SOUTH KOREA
11	루키스트 엔터테인먼트 	루키스트 엔터테인먼트	https://www.facebook.com/rookiestent/	1149575	9.76335E+14	brands	SOUTH KOREA	루키스트 엔터테인먼트?SOUTH KOREA
12	11번가 (11STREET) 	11번가 (11STREET)	https://www.facebook.com/11street.fb/	1612136	1.21866E+14	brands	SOUTH KOREA	11번가 (11STREET)?SOUTH KOREA
13	Starbucks Korea 	Starbucks Korea	https://www.facebook.com/starbuckskorea/	998791	1.22271E+14	brands	SOUTH KOREA	Starbucks Korea?SOUTH KOREA
14	삼성카드(Samsungcard) 	삼성카드(Samsungcard)	https://www.facebook.com/withSamsungCard/	920734	1.52858E+14	brands	SOUTH KOREA	삼성카드(Samsungcard)?SOUTH KOREA
15	CJ ONE 	CJ ONE	https://www.facebook.com/CJONEcard/	1392282	1.61345E+14	brands	SOUTH KOREA	CJ ONE?SOUTH KOREA
16	KT 	KTM Nepal	https://www.facebook.com/ktmnepalofficial/	1279191	1.35224E+15	brands	SOUTH KOREA	KT?SOUTH KOREA
17	엔제리너스커피(Angelinus Coffee) 	엔제리너스커피(Angelinus Coffee)	https://www.facebook.com/angelinustime/	1302953	2.8256E+14	brands	SOUTH KOREA	엔제리너스커피(Angelinus Coffee)?SOUTH KOREA
18	도미노피자(Dominostory) 	도미노피자(Dominostory)	https://www.facebook.com/dominostory/	826835	1.13411E+14	brands	SOUTH KOREA	도미노피자(Dominostory)?SOUTH KOREA
19	KFC 	KFC	https://www.facebook.com/KFC.KOR/	48390663	2.07169E+14	brands	SOUTH KOREA	KFC?SOUTH KOREA
20	크리스피 크림 도넛 (Krispykremekorea) 	크리스피 크림 도넛 (Krispykremekorea)	https://www.facebook.com/kkdkorea1937/	973437	1.90936E+14	brands	SOUTH KOREA	크리스피 크림 도넛 (Krispykremekorea)?SOUTH KOREA
21	Samsung Mobile Korea (삼성전자 모바일) 	Samsung Mobile Korea (삼성전자 모바일)	https://www.facebook.com/samsungmobilekorea/	822880	1.44295E+14	brands	SOUTH KOREA	Samsung Mobile Korea (삼성전자 모바일)?SOUTH KOREA
22	옥션 (Auction) 	옥션 (Auction)	https://www.facebook.com/ebayauction/	784998	1.77506E+14	brands	SOUTH KOREA	옥션 (Auction)?SOUTH KOREA
23	ETUDE 에뛰드 	ETUDE 에뛰드	https://www.facebook.com/etudehouseofficial/	1089270	2.10961E+14	brands	SOUTH KOREA	ETUDE 에뛰드?SOUTH KOREA
24	LG Uplus 	LG Uplus	https://www.facebook.com/LGUplus/	742683	1.3061E+14	brands	SOUTH KOREA	LG Uplus?SOUTH KOREA
25	한화데이즈(Hanwha) 	한화데이즈(Hanwha)	https://www.facebook.com/hanwhadays/	1075822	2.04072E+14	brands	SOUTH KOREA	한화데이즈(Hanwha)?SOUTH KOREA
26	SK플래닛 스튜디오 	SK플래닛 스튜디오	https://www.facebook.com/skplanet/	921971	1.98222E+14	brands	SOUTH KOREA	SK플래닛 스튜디오?SOUTH KOREA
27	이마트 	이마트	https://www.facebook.com/emartcompany/	663590	1.82369E+14	brands	SOUTH KOREA	이마트?SOUTH KOREA
28	삼성화재 	삼성화재	https://www.facebook.com/samsungfiretalk/	666577	1.88246E+14	brands	SOUTH KOREA	삼성화재?SOUTH KOREA
29	LG 	LG Mobile	https://www.facebook.com/LGMobile/	3990497	1.5451E+14	brands	SOUTH KOREA	LG?SOUTH KOREA
30	신세계백화점 	신세계백화점	https://www.facebook.com/shinsegae.dep/	876036	2.14825E+14	brands	SOUTH KOREA	신세계백화점?SOUTH KOREA
31	넥슨 (NEXON KOREA) 	넥슨 (NEXON KOREA)	https://www.facebook.com/NEXON.KR/	582064	1.31042E+14	brands	SOUTH KOREA	넥슨 (NEXON KOREA)?SOUTH KOREA
32	더페이스샵 (THEFACESHOP) 	더페이스샵 (THEFACESHOP)	https://www.facebook.com/thefaceshop.official/	695675	4.16099E+14	brands	SOUTH KOREA	더페이스샵 (THEFACESHOP)?SOUTH KOREA
33	Innisfree (이니스프리) 	Innisfree (이니스프리)	https://www.facebook.com/innisfreeHQ/	778178	2.89955E+14	brands	SOUTH KOREA	Innisfree (이니스프리)?SOUTH KOREA
34	NH농협은행 	NH농협은행	https://www.facebook.com/nhnonghyupbank/	559398	5.08771E+14	brands	SOUTH KOREA	NH농협은행?SOUTH KOREA
35	스킨푸드 Skinfood 	스킨푸드 Skinfood	https://www.facebook.com/theskinfood.kr/	636703	1.7823E+14	brands	SOUTH KOREA	스킨푸드 Skinfood?SOUTH KOREA
36	Natuur POP 	Natuur POP	https://www.facebook.com/natuurpop/	703592	2.6196E+14	brands	SOUTH KOREA	Natuur POP?SOUTH KOREA
37	왓챠플레이 	왓챠플레이	https://www.facebook.com/watcha.net/	551929	3.15034E+14	brands	SOUTH KOREA	왓챠플레이?SOUTH KOREA
38	AprilSkin 에이프릴스킨 	AprilSkin 에이프릴스킨	https://www.facebook.com/Aprilskin.korea/	600520	6.5712E+14	brands	SOUTH KOREA	AprilSkin 에이프릴스킨?SOUTH KOREA
39	올리브영 	올리브영	https://www.facebook.com/OLIVEYOUNG/	531541	2.15712E+14	brands	SOUTH KOREA	올리브영?SOUTH KOREA
40	롯데카드 (LOTTECARD) 	롯데카드 (LOTTECARD)	https://www.facebook.com/lottecard/	528172	3.96611E+14	brands	SOUTH KOREA	롯데카드 (LOTTECARD)?SOUTH KOREA
41	버거킹 	버거킹	https://www.facebook.com/burgerkingkorea/	517821	2.69836E+14	brands	SOUTH KOREA	버거킹?SOUTH KOREA
42	지니 	지니	https://www.facebook.com/genieplay/	532281	5.27277E+14	brands	SOUTH KOREA	지니?SOUTH KOREA
43	현대카드 	현대카드	https://www.facebook.com/HyundaiCard/	504388	1.2802E+14	brands	SOUTH KOREA	현대카드?SOUTH KOREA
44	위메프 	위메프	https://www.facebook.com/wemakeprice/	501223	1.67987E+14	brands	SOUTH KOREA	위메프?SOUTH KOREA
45	Asiana Airlines	Asiana Airlines	https://www.facebook.com/flyasiana/	577344	1.43888E+14	brands	SOUTH KOREA	"Asiana Airlines?SOUTH KOREA, GLOBAL"
46	"Uniqlo Korea, - 유니클로 "	"Uniqlo Korea, - 유니클로"	https://www.facebook.com/uniqlo.kr/	487309	1.76419E+14	brands	SOUTH KOREA	"Uniqlo Korea, - 유니클로?SOUTH KOREA"
47	롯데닷컴 	롯데닷컴	https://www.facebook.com/lottecom.fan/	472606	3.10526E+14	brands	SOUTH KOREA	롯데닷컴?SOUTH KOREA
48	Jeju air 	Jeju air	https://www.facebook.com/funjejuair/	830233	2.37249E+14	brands	SOUTH KOREA	Jeju air?SOUTH KOREA
49	홈플러스(Homeplus) 	홈플러스(Homeplus)	https://www.facebook.com/homeplus365/	453124	1.54935E+14	brands	SOUTH KOREA	홈플러스(Homeplus)?SOUTH KOREA
50	Mercedes-Benz Korea 	Mercedes-Benz Korea	https://www.facebook.com/MercedesBenzKorea/	637254	3.01305E+14	brands	SOUTH KOREA	Mercedes-Benz Korea?SOUTH KOREA
51	뉴발란스 라이프스타일 - New Balance Lifestyle Korea 	뉴발란스 라이프스타일 - New Balance Lifestyle Korea	https://www.facebook.com/nbkorea.LS/	457480	1.12887E+14	brands	SOUTH KOREA	뉴발란스 라이프스타일 - New Balance Lifestyle Korea?SOUTH KOREA
52	더블유랩 W.Lab 	더블유랩 W.Lab	https://www.facebook.com/wlab21/	617660	8.68368E+14	brands	SOUTH KOREA	더블유랩 W.Lab?SOUTH KOREA
53	Samsung IT Korea (삼성전자 IT) 	Samsung IT Korea (삼성전자 IT)	https://www.facebook.com/SamsungITKorea/	478575	1.30283E+14	brands	SOUTH KOREA	Samsung IT Korea (삼성전자 IT)?SOUTH KOREA
54	M&M's Korea 	Mr Bean	https://www.facebook.com/MrBean/	76158604	17774451468	brands	SOUTH KOREA	M&M's Korea?SOUTH KOREA
55	GS25 	GS25	https://www.facebook.com/funGS25/	407683	1.17263E+14	brands	SOUTH KOREA	GS25?SOUTH KOREA
56	Pizza Hut 	Pizza Hut	https://www.facebook.com/pizzahutkorea/	30787616	1.94442E+14	brands	SOUTH KOREA	Pizza Hut?SOUTH KOREA
57	롯데백화점 (LOTTE Department Store) 	롯데백화점 (LOTTE Department Store)	https://www.facebook.com/LOTTEshopping/	1923947	1.37578E+14	brands	SOUTH KOREA	롯데백화점 (LOTTE Department Store)?SOUTH KOREA
58	MISSHA 미샤 	MISSHA 미샤	https://www.facebook.com/myMISSHA/	489017	1.43047E+14	brands	SOUTH KOREA	MISSHA 미샤?SOUTH KOREA
59	Baskin-Robbins 	Baskin-Robbins	https://www.facebook.com/baskinrobbinskr/	9303602	1.92454E+14	brands	SOUTH KOREA	Baskin-Robbins?SOUTH KOREA
60	신한은행 	신한은행	https://www.facebook.com/ShinhanBank.kr/	524552	1.81889E+14	brands	SOUTH KOREA	신한은행?SOUTH KOREA
61	YES24 	YES24	https://www.facebook.com/yes24/	402135	1.12933E+14	brands	SOUTH KOREA	YES24?SOUTH KOREA
62	비욘드 (BEYOND) 	비욘드 (BEYOND)	https://www.facebook.com/ecobeyond/	467812	2.00915E+14	brands	SOUTH KOREA	비욘드 (BEYOND)?SOUTH KOREA
63	W컨셉 	W컨셉	https://www.facebook.com/wconceptkorea/	378921	1.89177E+14	brands	SOUTH KOREA	W컨셉?SOUTH KOREA
64	LG전자(LG Electronics) 	LG전자(LG Electronics)	https://www.facebook.com/theLGstory/	441992	1.6984E+14	brands	SOUTH KOREA	LG전자(LG Electronics)?SOUTH KOREA
65	뭐 입고 나가지? 	뭐 입고 나가지?	https://www.facebook.com/fashionterror/	378373	6.9273E+14	brands	SOUTH KOREA	뭐 입고 나가지??SOUTH KOREA
66	삼성 모바일 스토어(Samsung MobileStore) 	삼성 모바일 스토어(Samsung MobileStore)	https://www.facebook.com/samsungmobilestore/	448544	1.84256E+14	brands	SOUTH KOREA	삼성 모바일 스토어(Samsung MobileStore)?SOUTH KOREA
67	Audi Korea - 아우디코리아 	Audi Korea - 아우디코리아	https://www.facebook.com/audikorea.kr/	371595	1.00313E+14	brands	SOUTH KOREA	Audi Korea - 아우디코리아?SOUTH KOREA
68	BMW Korea 	BMW Korea	https://www.facebook.com/BMWKorea/	417306	1.43536E+14	brands	SOUTH KOREA	BMW Korea?SOUTH KOREA
69	인터파크투어(Interparktour) 	인터파크투어(Interparktour)	https://www.facebook.com/interparktour/	366022	1.84848E+14	brands	SOUTH KOREA	인터파크투어(Interparktour)?SOUTH KOREA
70	SK 	Skype	https://www.facebook.com/Skype/	28881396	29282006975	brands	SOUTH KOREA	SK?SOUTH KOREA
71	잡코리아 	잡코리아	https://www.facebook.com/jobkorea/	355350	1.66403E+14	brands	SOUTH KOREA	잡코리아?SOUTH KOREA
72	처음처럼 	처음처럼	https://www.facebook.com/firstsoju/	356827	2.35456E+14	brands	SOUTH KOREA	처음처럼?SOUTH KOREA
73	DADA Beauty - 다다 뷰티 	DADA Beauty - 다다 뷰티	https://www.facebook.com/beautifuldada/	462430	1.78907E+14	brands	SOUTH KOREA	DADA Beauty - 다다 뷰티?SOUTH KOREA
74	"비씨카드 (BC카드, BC Card) "	"비씨카드 (BC카드, BC Card)"	https://www.facebook.com/thebccard/	364796	1.05515E+14	brands	SOUTH KOREA	"비씨카드 (BC카드, BC Card)?SOUTH KOREA"
75	재규어 	재규어	https://www.facebook.com/JaguarKorea/	16916676	2.73066E+14	brands	SOUTH KOREA	재규어?SOUTH KOREA
76	토니모리 - Tonymoly 	토니모리 - Tonymoly	https://www.facebook.com/tonymoly.kr/	407223	2.10687E+14	brands	SOUTH KOREA	토니모리 - Tonymoly?SOUTH KOREA
77	한화생명 	한화생명	https://www.facebook.com/HanwhaLife/	336179	2.6053E+14	brands	SOUTH KOREA	한화생명?SOUTH KOREA
78	T.G.I.FRiDAY'S 	TGI Fridays	https://www.facebook.com/TGIFridays/	1648322	1.07696E+11	brands	SOUTH KOREA	T.G.I.FRiDAY'S?SOUTH KOREA
79	넷마블 	넷마블	https://www.facebook.com/netmarble/	2069327	1.64648E+14	brands	SOUTH KOREA	넷마블?GLOBAL
80	Land Rover 	Land Rover	https://www.facebook.com/landrover.kr/	15453824	1.96167E+14	brands	SOUTH KOREA	Land Rover?SOUTH KOREA
81	KB국민카드 	KB국민카드	https://www.facebook.com/kbkookmincard/	381630	1.59802E+14	brands	SOUTH KOREA	KB국민카드?SOUTH KOREA
82	포스코(POSCO) 	포스코(POSCO)	https://www.facebook.com/HELLOPOSCO/	708526	3.78237E+14	brands	SOUTH KOREA	포스코(POSCO)?SOUTH KOREA
83	istyle24 	istyle24	https://www.facebook.com/istyle24/	318234	1.13806E+14	brands	SOUTH KOREA	istyle24?SOUTH KOREA
84	취업대학교 	취업대학교	https://www.facebook.com/jobuniv/	317490	4.10483E+14	brands	SOUTH KOREA	취업대학교?SOUTH KOREA
85	29CM 	29CM	https://www.facebook.com/29centimeter/	323868	2.53443E+14	brands	SOUTH KOREA	29CM?SOUTH KOREA
86	텐바이텐(www.10x10.co.kr) 	텐바이텐(www.10x10.co.kr)	https://www.facebook.com/your10x10/	324525	1.8112E+14	brands	SOUTH KOREA	텐바이텐(www.10x10.co.kr)?SOUTH KOREA
87	롯데푸드(LOTTE FOODS) 	롯데푸드(LOTTE FOODS)	https://www.facebook.com/LOTTEFOODS/	397806	3.62827E+14	brands	SOUTH KOREA	롯데푸드(LOTTE FOODS)?SOUTH KOREA
88	롯데제과 (Lotte Conf) 	롯데제과 (Lotte Conf)	https://www.facebook.com/lotteconf/	380757	1.29367E+14	brands	SOUTH KOREA	롯데제과 (Lotte Conf)?SOUTH KOREA
89	오즈 뷰티 - 미모의 신 	오즈 뷰티 - 미모의 신	https://www.facebook.com/oz.beauty.god/	312714	6.57676E+14	brands	SOUTH KOREA	오즈 뷰티 - 미모의 신?SOUTH KOREA
90	현대자동차그룹 : Hyundai 	현대자동차그룹 : Hyundai	https://www.facebook.com/hyundaimotorgroup/	1701181	3.22922E+14	brands	SOUTH KOREA	현대자동차그룹 : Hyundai?SOUTH KOREA
91	쿠팡 Coupang 	쿠팡 Coupang	https://www.facebook.com/Coupang.korea/	312727	1.49886E+14	brands	SOUTH KOREA	쿠팡 Coupang?SOUTH KOREA
92	Samsung CE Korea (삼성전자 가전) 	Samsung CE Korea (삼성전자 가전)	https://www.facebook.com/SamsungCEKorea/	351615	3.11786E+14	brands	SOUTH KOREA	Samsung CE Korea (삼성전자 가전)?SOUTH KOREA
93	Oreo 	Oreo	https://www.facebook.com/oreo/	42968096	1.14999E+11	brands	SOUTH KOREA	Oreo?GLOBAL
94	아리따움 (ARITAUM) 	아리따움 (ARITAUM)	https://www.facebook.com/love.aritaum/	341827	1.54607E+14	brands	SOUTH KOREA	아리따움 (ARITAUM)?SOUTH KOREA
95	eSpoir 에스쁘아 	eSpoir 에스쁘아	https://www.facebook.com/eSpoirstory/	337170	1.86122E+14	brands	SOUTH KOREA	eSpoir 에스쁘아?SOUTH KOREA
96	Tourbaksa 	Tourbaksa	https://www.facebook.com/tourbaksa7/	297351	1.24779E+14	brands	SOUTH KOREA	Tourbaksa?SOUTH KOREA
97	Caffebene 	Caffebene	https://www.facebook.com/caffebene/	307961	1.5819E+14	brands	SOUTH KOREA	Caffebene?SOUTH KOREA
98	제일기획 (CheilWorldwide) 	제일기획 (CheilWorldwide)	https://www.facebook.com/CheilWorldwide/	305194	1.64267E+14	brands	SOUTH KOREA	제일기획 (CheilWorldwide)?SOUTH KOREA
99	와그 WAUG 	와그 WAUG	https://www.facebook.com/waugglobal/	296616	7.18273E+14	brands	SOUTH KOREA	와그 WAUG?SOUTH KOREA
100	ABOKI 	ABOKI	https://www.facebook.com/www.aboki.net/	299334	2.07338E+14	brands	SOUTH KOREA	ABOKI?SOUTH KOREA
101	Jetstream 	Jetstream	https://www.facebook.com/jetstream.uniball/	287608	6.7467E+14	brands	SOUTH KOREA	Jetstream?SOUTH KOREA
102	하이트진로 	하이트진로	https://www.facebook.com/HITEJINRO.kr/	309772	1.12907E+14	brands	SOUTH KOREA	하이트진로?SOUTH KOREA
103	Coca-Cola 	Coca-Cola	https://www.facebook.com/Coca-Cola-663709713760411/	106227894	6.6371E+14	brands	SOUTH KOREA	Coca-Cola?SOUTH KOREA
104	KIA Motors Corp 	KIA Motors Corp	https://www.facebook.com/kia.co.kr/	360239	1.88237E+14	brands	SOUTH KOREA	KIA Motors Corp?SOUTH KOREA
105	롯데마트 (LOTTE Mart) 	롯데마트 (LOTTE Mart)	https://www.facebook.com/lottemart/	303539	2.58672E+14	brands	SOUTH KOREA	롯데마트 (LOTTE Mart)?SOUTH KOREA
106	Nongshim 	Nongshim	https://www.facebook.com/nongshim/	295372	1.15457E+14	brands	SOUTH KOREA	Nongshim?SOUTH KOREA
107	배달의민족 	배달의민족	https://www.facebook.com/smartbaedal/	289086	1.68955E+14	brands	SOUTH KOREA	배달의민족?SOUTH KOREA
108	Goobne Chicken 	Goobne Chicken	https://www.facebook.com/goobne/	289327	2.33443E+14	brands	SOUTH KOREA	Goobne Chicken?SOUTH KOREA
109	G9 	G9	https://www.facebook.com/g9today/	286265	4.66846E+14	brands	SOUTH KOREA	G9?SOUTH KOREA
110	삼성물산 패션부문 	삼성물산 패션부문	https://www.facebook.com/samsungfashion/	494820	1.43682E+15	brands	SOUTH KOREA	삼성물산 패션부문?SOUTH KOREA
111	아디다스 러닝 	아디다스 러닝	https://www.facebook.com/adidasrunningkr/	282872	4.34074E+14	brands	SOUTH KOREA	아디다스 러닝?SOUTH KOREA
112	세븐일레븐 	세븐일레븐	https://www.facebook.com/7elevenkorea/	276628	2.05436E+14	brands	SOUTH KOREA	세븐일레븐?SOUTH KOREA
113	CJ CheilJedang 	CJ CheilJedang	https://www.facebook.com/CJcheiljedang/	280057	1.38958E+14	brands	SOUTH KOREA	CJ CheilJedang?SOUTH KOREA
114	Under Armour 	Under Armour	https://www.facebook.com/UnderArmourKorea/	9084979	5.10404E+14	brands	SOUTH KOREA	Under Armour?SOUTH KOREA
115	Volkswagen 	Volkswagen	https://www.facebook.com/VWKorea/	31632927	1.05013E+14	brands	SOUTH KOREA	Volkswagen?SOUTH KOREA
116	파리바게뜨 	파리바게뜨	https://www.facebook.com/loveparisbaguette/	261864	7.65351E+14	brands	SOUTH KOREA	파리바게뜨?SOUTH KOREA
117	네이처리퍼블릭 	네이처리퍼블릭	https://www.facebook.com/naturerepublic.kr/	330130	3.15073E+14	brands	SOUTH KOREA	네이처리퍼블릭?SOUTH KOREA
118	건강한 습관 한국야쿠르트 	건강한 습관 한국야쿠르트	https://www.facebook.com/koreayakult/	278894	1.38263E+15	brands	SOUTH KOREA	건강한 습관 한국야쿠르트?SOUTH KOREA
119	해태제과 (HAITAI) 	해태제과 (HAITAI)	https://www.facebook.com/HaitaiCo/	552632	2.29744E+14	brands	SOUTH KOREA	해태제과 (HAITAI)?SOUTH KOREA
120	YSL Beauty 	YSL Beauty	https://www.facebook.com/yslbeautykorea/	3600874	3.2253E+14	brands	SOUTH KOREA	YSL Beauty?SOUTH KOREA
121	Jeep Korea 	Jeep Korea	https://www.facebook.com/JeepKorea/	293539	1.34129E+14	brands	SOUTH KOREA	Jeep Korea?SOUTH KOREA
122	스타일난다 	스타일난다	https://www.facebook.com/stylenanda11/	317498	3.85856E+14	brands	SOUTH KOREA	스타일난다?SOUTH KOREA
123	DADA Living - 다다 리빙 	DADA Living - 다다 리빙	https://www.facebook.com/dadaliving/	258722	1.16789E+15	brands	SOUTH KOREA	DADA Living - 다다 리빙?SOUTH KOREA
124	1boon 	1boon	https://www.facebook.com/kakao1boon/	280252	4.9506E+14	brands	SOUTH KOREA	1boon?SOUTH KOREA
125	현대자동차 	현대자동차그룹 : Hyundai	https://www.facebook.com/hyundaimotorgroup/	1701181	3.22922E+14	brands	SOUTH KOREA	현대자동차?SOUTH KOREA
126	엘포인트ㅣ엘페이 	엘포인트ㅣ엘페이	https://www.facebook.com/lottemembers/	272618	1.22269E+14	brands	SOUTH KOREA	엘포인트ㅣ엘페이?SOUTH KOREA
127	Hana Tour 	Hana Tour	https://www.facebook.com/HanaTour.fb/	264759	1.49108E+14	brands	SOUTH KOREA	Hana Tour?SOUTH KOREA
128	KT&G 	KTM Nepal	https://www.facebook.com/ktmnepalofficial/	1279194	1.35224E+15	brands	SOUTH KOREA	KT&G?SOUTH KOREA
129	빕스(VIPS) 	빕스(VIPS)	https://www.facebook.com/ivips/	249251	2.55153E+14	brands	SOUTH KOREA	빕스(VIPS)?SOUTH KOREA
130	북팔 스토리 	북팔 스토리	https://www.facebook.com/bookpal.co.kr/	253146	2.03885E+14	brands	SOUTH KOREA	북팔 스토리?SOUTH KOREA
131	CHANEL 샤넬 	CHANEL 샤넬	https://www.facebook.com/ChanelKR/	20323101	7.26432E+14	brands	SOUTH KOREA	CHANEL 샤넬?SOUTH KOREA
132	LOTTE Homeshopping 	LOTTE Homeshopping	https://www.facebook.com/lottehomeshopping/	296671	4.26539E+14	brands	SOUTH KOREA	LOTTE Homeshopping?SOUTH KOREA
133	빌리프(belif) 	빌리프(belif)	https://www.facebook.com/belif.cosmetic/	253652	1.73761E+14	brands	SOUTH KOREA	빌리프(belif)?SOUTH KOREA
134	The Body Shop 	The Body Shop	https://www.facebook.com/TheBodyShopKR/	7311634	1.84977E+14	brands	SOUTH KOREA	The Body Shop?SOUTH KOREA
135	CJ오쇼핑 	CJ오쇼핑	https://www.facebook.com/CJOshopping/	253807	1.5047E+14	brands	SOUTH KOREA	CJ오쇼핑?SOUTH KOREA
136	GS SHOP 지에스샵 	GS SHOP 지에스샵	https://www.facebook.com/realshoppingstory/	253952	1.62019E+15	brands	SOUTH KOREA	GS SHOP 지에스샵?SOUTH KOREA
137	SSG닷컴 	SSG닷컴	https://www.facebook.com/ssgcom/	237571	2.6818E+14	brands	SOUTH KOREA	SSG닷컴?SOUTH KOREA
138	T'way Air - 티웨이항공	T'way Air - 티웨이항공	https://www.facebook.com/twayair/	273068	2.23143E+14	brands	MALAYSIA	T'way Air - 티웨이항공?MALAYSIA
139	빙그레(Binggrae) 	빙그레(Binggrae)	https://www.facebook.com/bingsmile/	319035	1.27529E+14	brands	SOUTH KOREA	빙그레(Binggrae)?SOUTH KOREA
140	익스피디아 	익스피디아	https://www.facebook.com/expediakorea/	6722515	3.9533E+14	brands	SOUTH KOREA	익스피디아?SOUTH KOREA
141	빙그레 아이스크림 	빙그레 아이스크림	https://www.facebook.com/Bingicecream/	243025	1.10841E+15	brands	SOUTH KOREA	빙그레 아이스크림?SOUTH KOREA
142	NESCAF? 	NESCAF?	https://www.facebook.com/NescafeKorea/	36520708	4.3851E+14	brands	SOUTH KOREA	NESCAF??SOUTH KOREA
143	칠성사이다&Cool 	칠성사이다&Cool	https://www.facebook.com/LotteChilsungCider/	288817	4.03097E+14	brands	SOUTH KOREA	칠성사이다&Cool?SOUTH KOREA
144	Megastudy 	Megastudy	https://www.facebook.com/megastudy10/	230346	1.43224E+14	brands	SOUTH KOREA	Megastudy?SOUTH KOREA
145	커넥츠 스카이에듀 	커넥츠 스카이에듀	https://www.facebook.com/superskyedu/	251217	4.27133E+14	brands	SOUTH KOREA	커넥츠 스카이에듀?SOUTH KOREA
