page_name,page_id,post_last,post_period
하이마트(Hi-mart),496657243716553,2017-11-07,0.25
삼성전자 뉴스룸,314882591487,2017-11-07,0.5
G마켓,176568119021613,2017-11-07,0.8333333333333334
롯데 (LOTTE),281196138649965,2017-11-06,1.9583333333333333
티몬 TMON,194806033875286,2017-11-07,1.125
SK텔레콤,141962659170409,2017-11-06,0.5416666666666666
롯데리아 (LOTTERIA),431665770216673,2017-11-07,1.0416666666666667
Beauty No.1,102272326495825,2017-11-03,2.0833333333333335
맥도날드 (McDonald's),180075038851878,2017-11-06,1.2916666666666667
신한카드,113968985369946,2017-11-07,1.5
루키스트 엔터테인먼트,976335082387923,2017-11-07,0.125
11번가 (11STREET),121866131216888,2017-11-07,0.75
Starbucks Korea,122271421173562,2017-11-07,0.625
삼성카드(Samsungcard),152857838107621,2017-11-06,1.9583333333333333
CJ ONE,161344933920283,2017-11-06,0.5
KTM Nepal,1352239414802990,2017-11-07,0.0
엔제리너스커피(Angelinus Coffee),282560198486122,2017-11-07,0.9166666666666666
도미노피자(Dominostory),113411472062884,2017-11-06,1.1666666666666667
KFC,207168969380470,2017-11-07,1.75
크리스피 크림 도넛 (Krispykremekorea),190935550953478,2017-11-07,1.0833333333333333
Samsung Mobile Korea (삼성전자 모바일),144295415698036,2017-11-03,1.75
옥션 (Auction),177506035621661,2017-11-07,0.9583333333333334
ETUDE 에뛰드,210960618957553,2017-11-07,0.4166666666666667
LG Uplus,130609873649000,2017-11-06,0.5833333333333334
한화데이즈(Hanwha),204071546359884,2017-11-06,2.2083333333333335
SK플래닛 스튜디오,198222053563803,2017-11-07,4.083333333333333
이마트,182368861838705,2017-11-06,1.5416666666666667
삼성화재,188245544527182,2017-11-07,1.0833333333333333
LG Mobile,154510491226946,2017-11-07,1.625
신세계백화점,214824885202505,2017-11-03,1.25
넥슨 (NEXON KOREA),131041580292444,2017-11-06,2.0
더페이스샵 (THEFACESHOP),416098605075505,2017-11-06,1.6666666666666667
Innisfree (이니스프리),289955041017153,2017-11-06,1.1666666666666667
NH농협은행,508770655896076,2017-11-07,0.875
스킨푸드 Skinfood,178230372316432,2017-11-06,1.625
Natuur POP,261960300603503,2017-11-07,1.1666666666666667
왓챠플레이,315033951845369,2017-11-07,0.125
AprilSkin 에이프릴스킨,657120014400763,2017-11-07,1.75
올리브영,215712131799664,2017-11-07,1.375
롯데카드 (LOTTECARD),396611003721042,2017-11-06,1.625
버거킹,269835863087249,2017-11-07,1.125
지니,527276640647860,2017-11-07,0.625
현대카드,128019947212440,2017-11-06,0.7083333333333334
위메프,167987083242450,2017-11-06,1.875
